track_id,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
5Z2MiIZ5I3jJvvmeWMLbOQ,272373,89,0.538,0.138,0.742,4.67e-05,0.0934,-5.355,0.114,96.107,4,1
3OHfY25tqY28d16oZczHc8,153946,92,0.644,0.0543,0.728,0.169,0.161,-5.75,0.0351,88.993,4,1
3EPXxR3ImUwfayaurPi3cm,196373,75,0.553,0.697,0.586,0.0,0.0813,-6.319,0.0362,126.684,4,1
63mdJr3NMY3wReOkNE6c6W,194900,75,0.695,0.0881,0.62,5.43e-05,0.111,-8.082,0.0521,150.032,4,1
0j1Ia2lQWrcXrQZI4AdJlk,184638,73,0.648,0.886,0.308,0.0774,0.124,-11.729,0.04,76.997,1,1
3hRV0jL3vUpRrcy398teAU,208211,79,0.544,0.969,0.369,0.279,0.639,-9.514,0.038,87.01,3,1
7DbdUf8aHSYoliSjO6LZv6,196784,84,0.572,0.013,0.839,0.00976,0.522,-5.083,0.0377,143.969,4,1
2QjOHCTQ1Jl3zawyYOpxh6,240400,88,0.612,0.0495,0.807,0.0177,0.101,-2.81,0.0336,124.053,4,1
4l0Mvzj72xxOpRrp6h8nHi,206458,77,0.488,0.556,0.343,0.0,0.21,-8.985,0.0436,102.819,4,1
2tGvwE8GcFKwNdAXMnlbfl,175933,80,0.395,0.765,0.443,9.67e-06,0.0839,-9.72,0.133,168.924,3,1
1cKHdTo9u0ZymJdPGSh6nq,241066,86,0.323,0.142,0.737,0.000162,0.163,-4.008,0.0338,113.26,4,1
0sY6ZUTh4yoctD8VIXz339,244000,74,0.462,0.92,0.24,0.0,0.113,-12.077,0.0377,171.319,4,1
3p4hRhMcb6ch8OLtATMaLw,256799,74,0.406,0.756,0.399,0.678,0.112,-10.449,0.0278,142.83,4,1
4IhKLu7Vk3j2TLmnFPl6To,218893,74,0.723,0.388,0.504,7.4e-05,0.087,-5.572,0.0392,133.975,4,1
1RMJOxR6GRPsBHL8qeC2ux,209831,77,0.524,0.808,0.364,0.0,0.1,-10.209,0.0367,75.24,4,1
0VjIjW4GlUZAMYd2vXMi3b,200040,87,0.514,0.00146,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,4,1
0jllH0usRFD4LJkJnGK9Lf,189000,66,0.657,0.694,0.355,0.000427,0.123,-12.044,0.0714,74.99,4,1
0qvzXomUDJVaUboy2wMfiS,232852,76,0.677,0.712,0.401,0.0,0.116,-8.467,0.0308,111.825,4,1
1SKPmfSYaPsETbRHaiA18G,237146,81,0.448,0.06,0.665,2.55e-05,0.0828,-4.203,0.026,172.004,4,1
26b3oVLrRUaaybJulow9kz,184791,85,0.573,0.551,0.422,1.31e-05,0.102,-7.621,0.0678,124.357,5,1
2Xr1dTzJee307rmrkt8c0g,145800,78,0.727,0.365,0.739,0.00137,0.161,-3.805,0.0411,93.005,4,1
35fdRgZrz5ujDGBaqhoPE8,345135,53,0.679,0.0447,0.568,0.709,0.067,-7.097,0.0358,120.002,4,1
3JjnGLK8IxkNLvo8Lb3KOM,248360,78,0.681,0.22,0.582,0.0,0.119,-7.76,0.0313,124.038,4,1
46u5B2WN4wryYLZuMAOmI4,208728,68,0.672,0.0774,0.625,0.0,0.0934,-5.068,0.0468,120.038,4,1
4EDijkJdHBZZ0GwJ12iTAj,111640,77,0.638,0.351,0.474,0.191,0.105,-12.7,0.124,179.771,4,1
4IvuPZogXbY7LODs7qzr0W,182653,57,0.518,0.346,0.683,0.0,0.311,-5.295,0.0364,141.971,4,1
4JeOesjcWWlprTAvucDSJX,158536,66,0.53,0.385,0.593,0.0,0.314,-7.286,0.0545,125.723,4,1
559SdaPI7mqy9IQiscuaMj,150053,77,0.753,0.0812,0.458,0.00413,0.209,-12.52,0.123,105.057,4,1
5kl6FcnZv8jQDgNSWNyfpN,296377,59,0.485,0.898,0.456,2.58e-05,0.0835,-6.544,0.0309,90.352,4,1
6HU7h9RYOaPRFeh0R3UeAr,215506,81,0.442,0.584,0.612,5.7e-06,0.37,-7.222,0.112,180.917,4,1
6I0KEvFfWszVJiCy5hum4V,190348,70,0.737,0.802,0.408,0.0,0.171,-7.941,0.104,127.918,4,1
6uvh0In7u1Xn4HgxOfAn8O,245964,79,0.507,0.896,0.294,1.97e-05,0.0966,-10.0,0.04,114.199,4,1
43zdsphuZLzwA9k4DJhU0I,196077,80,0.367,0.978,0.111,3.97e-05,0.0897,-14.084,0.0972,82.642,4,1
4pTkDIlpFNoeWbahu8pVXW,295308,72,0.663,0.312,0.578,0.906,0.109,-9.079,0.0687,86.986,4,1
09mEdoA6zrmBPgTEN5qXmN,228373,85,0.461,0.17,0.593,0.0,0.307,-4.954,0.0356,134.17,3,1
2K7xn816oNHJZ0aVqdQsha,206280,82,0.575,0.0484,0.568,0.000417,0.286,-5.509,0.03,93.986,4,1
3BJe4B8zGnqEdQPMvfVjuS,265427,80,0.565,0.0542,0.654,1.8e-06,0.122,-6.826,0.0335,111.968,4,1
0JXXNGljqupsJaZsgSbMZV,195373,90,0.684,0.0267,0.607,0.000307,0.191,-8.127,0.1,81.001,4,1
3ZCTVFBt2Brf31RLEnCkWJ,245425,80,0.704,0.902,0.225,0.657,0.106,-14.454,0.0994,120.006,4,1
5K3SJuYEkvvrLbzOjPyRi1,156650,76,0.552,0.0813,0.582,0.205,0.177,-5.535,0.0404,105.483,4,1
6IPwKM3fUUzlElbvKw2sKl,184153,80,0.566,0.113,0.366,0.181,0.155,-12.808,0.028,129.96,4,1
6J2LdBN97cDWn0MLxYh9HB,156106,77,0.708,0.868,0.186,0.0,0.0779,-8.953,0.042,72.541,4,1
7B3z0ySL9Rr0XvZEAjWZzM,188386,76,0.744,0.598,0.619,0.00372,0.231,-9.805,0.039,112.997,4,1
0Ult84lvFuqNvbyXwyRQ58,205986,65,0.693,0.299,0.624,7.64e-06,0.0955,-7.482,0.0448,105.002,4,1
1BCXUbnU0486n4eeTyyVIj,204376,67,0.698,0.623,0.623,0.0856,0.179,-7.845,0.037,102.002,4,1
1MhXdlCQPnO56T57MfmaRm,197411,71,0.458,0.0965,0.561,0.0,0.156,-4.819,0.0269,149.875,3,1
1Qrg8KqiBpW07V7PNxwwwL,153946,92,0.644,0.0521,0.735,0.144,0.161,-5.747,0.0391,88.98,4,1
1TQXIltqoZ5XXyfCbAeSQQ,197732,76,0.629,0.768,0.328,2.5e-05,0.103,-8.284,0.029,74.953,4,1
1dB1kzLOjTcmSHttRd8bnV,204093,67,0.422,0.879,0.345,1.15e-05,0.149,-6.365,0.0345,78.293,4,1
219slQu3ALbTSAe9P22hvE,228442,72,0.502,0.885,0.168,0.0,0.111,-14.061,0.0486,112.881,3,1
